name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
77,34.1,9,116,91,3555,10.0,118
78,17.6,5,391,53,4099,17.5,83
79,14.5,10,209,220,1245,8.1,114
80,23.6,5,442,270,1925,25.4,87
81,26.3,8,268,98,2586,19.7,93
82,33.8,7,247,274,3880,12.3,142
83,53.6,9,500,209,3747,8.2,84
84,13.7,6,461,243,4442,16.8,114
85,31.0,7,339,235,5005,11.5,138
86,16.5,9,351,180,4463,19.0,137
87,31.2,5,412,83,4410,29.8,136
88,10.6,5,421,77,5512,26.9,89
89,49.4,9,258,65,2122,23.8,79
90,16.6,5,175,157,1754,17.4,129
91,29.3,5,118,274,5419,9.6,107
92,41.0,10,465,66,3660,28.0,132
93,23.6,3,118,54,2841,12.8,136
94,27.9,6,128,147,3159,15.2,98
95,13.9,4,344,248,2603,19.6,87
96,8.5,9,88,158,3537,11.9,97
97,49.6,6,212,221,2325,30.6,83
98,27.0,4,101,204,3393,10.8,82
99,22.1,6,221,278,1926,13.5,92
100,12.0,3,519,181,5075,31.1,123
101,11.9,9,413,165,5864,19.3,102
102,52.4,8,265,211,3022,9.7,77
103,53.5,3,285,181,1827,25.6,144
104,38.0,7,188,272,3882,14.7,150
105,20.7,9,392,162,4059,26.5,72
106,19.9,3,86,180,5253,26.1,147
107,36.9,5,101,162,4887,32.2,115
108,44.4,4,228,137,5938,26.2,87
109,50.4,4,170,275,5987,24.6,91
110,15.6,6,270,94,5629,26.3,109
111,22.4,10,125,131,4937,30.3,139
112,10.8,4,408,149,4375,18.8,121
113,24.6,9,162,253,3504,22.7,118
114,46.8,9,238,119,4983,15.6,148
115,40.7,9,402,204,4300,19.5,113
116,21.3,7,428,99,4302,28.3,88
117,14.1,8,80,218,4224,13.2,111
118,46.8,4,202,77,2932,29.6,123
119,22.3,6,390,251,2060,18.8,125
120,42.3,4,473,229,5327,24.6,116
121,32.6,9,318,263,2628,29.1,117
122,53.9,7,183,176,3422,22.6,97
123,15.1,4,139,131,4462,32.3,125
124,9.4,8,391,148,1322,11.1,129
125,50.9,6,369,144,1965,10.6,107
126,43.8,9,128,269,2223,15.7,101
127,45.7,6,477,198,1413,30.8,82
128,44.3,3,277,93,2109,20.3,126
129,9.7,9,514,123,2445,13.3,109
130,10.2,3,154,261,5228,16.1,151
131,46.7,5,447,223,4424,17.4,147
132,43.0,7,122,237,4750,29.0,71
133,31.3,4,316,65,1943,22.3,132
134,44.9,10,202,134,2310,15.1,71
135,39.4,7,368,218,1212,23.8,81
136,39.0,8,71,240,4676,15.1,87
137,50.8,3,105,150,1480,17.2,83
138,31.1,6,224,181,1838,12.9,139
139,52.2,4,474,183,3035,8.3,83
140,19.1,10,163,232,6095,18.8,72
141,20.4,10,487,118,4453,24.2,127
142,14.9,6,321,221,2258,21.6,84
143,41.8,8,521,82,3623,13.9,71
144,47.9,5,189,150,2439,12.4,151
145,24.8,6,236,255,2120,13.3,141
146,52.0,7,322,189,3183,16.8,104
147,18.5,8,161,164,1929,16.0,79
148,40.8,9,88,225,2318,21.3,138
149,44.9,6,122,168,2290,29.6,85
150,16.5,8,259,113,4306,12.4,132
151,38.7,6,369,85,4741,15.8,90
152,48.9,9,376,126,3906,13.7,146
153,45.5,7,205,256,1525,26.2,77
154,34.4,6,122,61,5185,23.1,87
155,14.1,4,142,117,3009,18.7,78
156,20.9,8,476,267,1901,32.5,77
157,30.0,9,322,82,2314,21.3,119
158,9.4,8,224,119,2815,23.0,128
159,49.0,10,358,264,2396,23.4,131
160,51.5,6,124,262,1391,32.1,87
161,45.4,3,495,228,3562,17.8,108
162,30.6,10,308,75,5247,25.2,100
163,43.0,6,477,81,2608,21.8,94
164,25.0,8,84,124,1884,19.0,141
165,51.1,7,336,188,4925,9.7,89
166,43.0,9,434,172,5133,18.1,83
167,14.7,6,397,112,1396,24.7,133
168,48.7,3,462,188,4634,13.5,114
169,29.4,6,316,91,2412,8.0,74
170,12.3,3,362,143,3121,11.9,147
171,39.2,7,370,73,3991,23.1,119
172,34.6,7,103,234,4741,27.2,73
173,15.0,3,236,182,4943,24.2,123
174,12.0,4,80,166,1507,9.8,91
175,39.1,3,389,196,2814,8.4,97
176,33.7,10,348,167,3181,24.6,83
177,13.3,8,263,147,4417,30.8,150
178,53.4,8,484,114,4515,9.3,93
179,49.9,6,477,127,2555,30.4,127
180,53.3,3,363,234,1761,31.1,78
181,44.7,9,82,234,5983,23.0,142
182,10.9,4,270,233,2498,24.9,126
183,26.3,6,390,91,4738,21.2,124
184,35.6,3,285,167,4945,18.6,84
185,45.2,3,350,186,2735,13.8,106
186,35.7,3,360,142,3567,8.0,121
187,43.7,5,168,254,4160,17.3,108
188,26.4,3,482,92,3533,24.4,81
189,50.6,10,280,56,5112,13.1,134
190,19.7,9,396,258,5035,20.3,144
191,30.2,7,175,102,5293,29.1,91
192,20.0,7,526,197,1871,28.5,102
193,44.7,6,269,119,2718,27.3,108
194,21.2,8,91,232,1586,17.9,112
195,48.9,10,281,252,1251,23.4,136
196,20.4,6,438,154,4298,20.7,99
197,35.8,4,233,244,1843,9.3,103
198,22.7,6,135,218,1996,17.3,118
199,27.3,9,513,91,2343,14.0,74
200,46.0,6,290,66,1960,31.8,124
201,21.0,4,161,194,5849,21.1,109
202,52.2,10,478,147,3912,9.1,112
203,9.0,7,85,72,1228,20.0,140
204,22.7,9,341,182,1309,16.1,96
205,49.9,8,280,190,3150,9.0,125
206,44.3,10,403,248,4851,9.9,122
207,23.0,4,301,240,2219,22.8,120
208,35.1,3,519,149,4210,28.4,96
209,22.2,6,127,107,4997,27.1,113
210,25.0,6,363,179,3553,31.0,86
211,20.1,10,370,176,3172,29.0,134
212,33.7,6,121,92,1868,9.9,82
213,51.9,10,215,161,3750,18.1,100
214,39.8,10,356,171,5776,26.6,72
215,44.8,6,342,191,5358,22.6,132
216,19.6,10,202,182,4088,13.2,108
217,16.7,5,298,232,5420,32.9,145
218,25.4,6,137,129,3264,19.2,110
219,23.8,6,310,62,4128,23.2,91
220,45.5,8,202,59,1846,17.3,97
221,51.4,3,153,230,4855,21.8,149
222,52.4,5,76,193,2298,10.8,132
223,28.7,6,316,279,4040,21.9,141
224,17.9,9,527,249,4782,20.1,131
225,10.1,9,196,109,5204,21.7,71
226,13.2,7,176,254,1959,32.7,112
227,48.3,9,229,153,5504,11.0,119
228,17.8,8,511,267,3407,16.2,149
229,46.7,10,192,147,5891,24.7,111
230,49.7,7,507,63,5798,16.7,89
231,28.7,7,378,119,5606,25.2,71
232,12.4,4,174,81,5802,20.2,123
233,40.2,5,377,249,3733,15.3,82
234,45.0,3,426,114,4256,24.6,132
235,23.5,4,183,113,2493,14.7,140
236,11.1,3,169,126,3562,13.3,143
237,47.0,7,175,165,6270,20.4,97
238,32.9,7,463,113,5556,14.7,139
239,39.5,3,245,80,2369,12.2,101
240,41.3,6,400,190,2348,18.5,91
241,30.1,8,310,232,1611,19.0,85
242,51.6,8,175,50,3038,8.5,79
243,50.2,5,183,227,3320,15.8,83
244,50.6,9,344,177,5869,17.9,74
245,26.5,7,390,141,2173,25.5,126
246,19.6,9,252,248,3231,20.9,141
247,39.7,6,447,82,4870,28.9,108
248,17.4,7,336,199,2823,31.5,134
249,33.4,5,164,119,5269,18.0,133
250,20.4,7,270,263,5539,23.6,103
251,28.1,8,114,242,3201,13.8,91
252,38.4,7,239,156,2205,13.5,141
253,50.7,4,277,53,1802,10.7,96
254,50.4,4,261,263,5949,9.3,70
255,15.5,6,477,207,4999,25.4,121
256,28.8,9,374,131,3302,8.0,79
257,22.6,4,179,67,4163,24.9,93
258,35.4,6,77,182,1208,18.5,82
259,49.3,10,502,77,4960,31.5,145
260,14.1,6,148,160,4059,9.5,132
261,8.6,9,440,230,6070,16.0,114
262,8.2,5,144,96,3753,18.6,145
263,49.1,10,425,183,1833,18.7,114
264,44.6,10,236,153,1957,19.0,148
265,47.2,7,244,59,2890,13.2,74
266,53.3,6,281,133,5108,31.0,122
267,18.8,5,116,192,3547,18.8,90
268,49.0,10,150,87,3624,22.3,84
269,29.4,10,442,116,4695,28.0,135
270,16.8,10,74,100,3972,21.3,144
271,45.2,8,301,176,1688,9.3,141
272,21.3,6,355,84,4601,32.0,92
273,28.5,6,275,53,3958,14.7,105
274,31.0,6,360,140,2925,13.8,118
275,13.2,7,502,123,4446,15.8,130
276,25.4,4,306,178,5694,29.3,75
277,28.5,10,194,204,4034,21.9,109
278,13.6,8,310,219,2008,27.9,80
279,39.4,5,454,132,4533,20.3,93
280,11.0,10,151,246,4787,15.3,123
281,39.4,4,97,83,3415,14.0,90
282,38.9,6,202,154,3001,26.0,88
283,25.6,3,425,192,4337,26.6,147
284,34.8,9,335,84,3129,14.0,116
285,39.9,3,465,205,3383,25.1,71
286,12.6,6,261,133,4584,27.0,148
287,47.2,9,202,226,2993,20.3,82
288,20.3,9,88,178,5893,8.4,78
289,44.1,7,262,241,1757,29.1,122
290,43.5,5,240,236,3754,30.4,103
291,37.5,6,276,118,2722,23.6,146
292,10.7,9,465,68,1966,20.6,115
293,18.0,10,278,234,1480,28.2,114
294,34.7,8,480,251,1770,9.3,126
295,40.0,8,286,248,4299,11.3,91
296,23.5,3,122,225,3867,19.6,149
297,18.1,4,180,255,1566,17.8,132
298,50.9,3,236,269,2458,31.0,93
299,36.3,3,307,123,2821,15.9,99
300,53.8,8,309,175,1951,9.3,96
301,50.2,8,321,123,4657,10.4,75
302,43.3,5,130,215,4607,14.5,129
303,25.5,10,181,275,3761,29.3,89
304,32.5,8,494,108,5584,24.5,93
305,17.2,8,159,62,3728,12.0,129
306,51.2,8,310,137,4832,25.6,142
307,11.8,7,366,226,1874,8.9,148
308,10.8,8,204,228,3769,13.4,132
309,40.2,10,315,123,1819,14.1,131
310,46.1,9,470,75,5375,17.1,137
311,34.4,3,95,258,5667,19.7,133
312,26.6,10,370,75,3395,26.7,113
313,23.3,8,112,255,4780,9.2,106
314,22.6,3,305,189,3057,30.3,74
315,12.2,6,299,157,5779,25.1,129
316,37.6,5,336,257,1909,30.1,128
317,13.5,9,384,162,3792,24.8,92
318,19.5,3,494,272,6254,12.6,104
319,48.5,5,183,196,5267,21.7,97
320,52.7,9,433,181,2762,28.9,108
321,52.0,3,250,203,5464,22.1,108
322,24.4,3,520,247,3956,15.2,134
323,31.6,5,267,206,3803,8.8,132
324,14.9,8,90,127,2701,22.3,80
325,40.7,3,186,196,4253,20.0,116
326,12.1,8,99,129,2645,28.5,142
327,45.9,9,361,58,5300,10.2,78
328,14.1,4,468,173,2390,24.6,74
329,28.2,10,504,251,2690,11.6,106
330,10.4,10,245,187,5571,17.0,137
331,28.6,5,502,242,4228,25.6,140
332,36.2,5,346,257,2232,23.7,90
333,29.3,9,123,236,5784,13.9,145
334,17.3,6,434,145,3759,12.8,102
335,29.8,10,393,133,2032,16.2,129
336,25.2,7,423,148,4229,23.8,146
337,25.4,7,380,74,3791,20.1,82
338,46.2,5,238,125,5420,19.9,78
339,39.2,7,326,152,5205,24.4,131
340,26.6,5,181,75,2184,13.6,79
341,20.0,7,486,215,3210,29.4,149
342,43.0,10,288,67,6220,22.5,101
343,36.8,10,330,138,1621,17.3,136
344,25.4,7,406,141,2243,9.8,76
345,44.0,3,365,88,1501,21.4,122
346,39.9,6,119,107,4460,8.7,76
347,15.4,10,332,197,4740,31.2,145
348,24.3,4,254,236,4296,8.5,73
349,16.6,7,450,199,3631,28.7,141
350,10.0,3,259,123,5701,32.2,126
351,12.3,10,284,216,4595,18.7,87
352,42.2,8,428,196,2330,29.3,133
353,51.5,6,439,256,3349,32.5,98
354,42.6,10,185,227,5875,23.7,137
355,34.8,6,432,99,4922,12.6,98
356,20.0,4,194,80,6270,27.7,87
357,25.6,6,498,251,1561,18.8,92
358,32.2,5,175,146,4657,8.9,76
359,30.4,7,358,149,2932,16.0,112
360,15.1,7,492,138,3661,20.9,98
361,14.7,3,289,258,5074,16.8,79
362,45.8,3,382,176,2047,10.6,75
363,52.2,5,172,122,1218,12.0,128
364,17.4,8,341,182,4881,20.7,137
365,12.1,5,476,251,6076,18.8,135
366,51.7,7,162,133,4810,32.5,115
367,9.7,7,156,190,5303,21.6,96
368,23.8,8,170,219,2381,12.8,73
369,31.9,10,410,56,5836,28.5,104
370,42.0,7,443,168,3656,10.5,137
371,15.6,4,420,130,2614,26.4,115
372,14.6,10,382,172,3327,20.2,138
373,35.9,9,267,187,2661,25.1,119
374,50.9,4,505,86,3754,22.0,147
375,34.2,8,399,246,2631,26.8,71
376,46.8,10,442,274,4143,11.9,111
377,18.4,4,449,244,1234,8.3,116
378,17.3,7,356,87,2530,18.0,80
379,16.6,7,224,222,3279,26.2,113
380,24.2,5,454,146,5371,24.0,104
381,18.4,4,233,93,1994,31.0,89
382,11.7,6,313,190,1818,10.1,76
383,15.8,10,108,269,3245,13.5,77
384,11.9,6,218,212,4963,14.4,112
385,52.6,10,207,245,5625,28.0,144
386,27.1,8,136,153,2747,29.3,95
387,46.1,10,181,175,6112,15.2,138
388,31.7,4,354,235,2907,26.4,96
389,34.8,10,136,141,2404,18.2,146
390,45.5,6,122,261,3615,19.9,129
391,53.9,8,185,253,4913,15.7,75
392,24.8,4,423,192,5764,31.6,145
393,44.9,6,458,193,4818,9.4,117
394,10.1,6,482,274,2193,31.4,77
395,28.9,9,300,208,3690,16.5,88
396,52.3,9,157,138,1944,28.5,80
397,34.0,5,241,264,4197,15.9,95
398,19.3,6,135,226,2168,21.7,124
399,13.3,10,516,68,5737,16.6,79
400,33.8,5,213,159,4794,22.3,70
401,23.9,9,320,110,4504,27.9,123
402,23.0,4,205,261,3109,24.5,77
403,10.7,9,138,236,1654,32.2,131
404,22.2,7,411,115,4144,23.2,90
405,35.3,9,208,182,3958,27.4,97
406,42.6,8,311,53,4278,12.3,109
407,26.6,6,202,263,2927,14.1,143
408,44.6,10,516,99,2451,10.3,117
409,28.9,3,311,109,2419,24.8,129
410,28.4,5,437,242,5859,26.8,80
411,41.6,4,295,51,1661,14.5,82
412,40.2,9,84,113,2811,20.9,75
413,26.6,8,506,148,4382,15.0,120
414,26.6,4,186,62,2760,13.1,102
415,18.3,3,301,197,5072,32.1,71
416,12.2,4,123,147,5911,10.5,114
417,21.3,6,429,177,4490,12.2,132
418,46.8,7,439,166,4012,15.4,147
419,8.2,9,466,74,4211,31.6,138
420,23.5,8,202,208,5711,11.8,82
421,25.8,7,364,164,3953,25.9,122
422,8.8,5,398,222,6111,32.0,147
423,47.9,4,194,205,2952,10.8,136
424,50.9,9,348,214,1664,8.4,73
425,26.6,4,200,108,2702,22.4,92
426,22.1,10,253,240,1922,19.5,70
427,12.6,10,83,182,5214,32.9,133
428,15.2,9,499,158,5400,15.5,98
429,39.7,7,405,111,3047,18.5,142
430,23.1,4,83,135,3195,24.9,73
431,38.9,3,308,210,4223,8.0,143
432,13.0,6,174,181,5242,29.4,129
433,16.1,4,322,243,3449,23.0,83
434,20.3,6,516,246,1623,11.9,102
435,46.6,4,162,120,5920,30.4,102
436,45.0,5,115,202,1885,15.4,115
437,47.7,6,476,180,3522,16.5,107
438,36.9,4,328,232,3711,21.1,122
439,45.7,4,435,203,1904,10.4,109
440,52.1,7,298,88,5804,16.0,138
441,14.9,9,256,277,1548,13.0,72
442,35.8,10,492,69,2778,19.9,87
443,8.3,10,105,270,2064,15.4,117
444,38.0,7,132,216,1861,10.3,101
445,45.3,3,415,195,3064,26.8,73
446,49.0,4,272,128,1961,31.1,128
447,23.4,5,433,94,5196,19.9,148
448,31.1,9,450,51,5501,15.1,125
449,24.8,10,166,197,3329,18.7,82
450,31.3,5,144,143,1781,10.8,89
451,28.7,3,317,158,3070,32.2,90
452,53.8,9,397,261,4110,25.9,109
453,37.6,5,109,239,6214,25.2,92
454,10.2,9,405,133,1728,27.6,127
455,26.5,5,153,89,4887,12.3,97
456,24.3,9,202,232,2536,15.4,113
457,38.6,3,121,177,4062,26.8,88
458,14.1,9,115,105,2386,20.3,73
459,13.6,7,474,248,1270,20.6,75
460,48.0,8,474,152,4322,18.5,74
461,22.6,5,189,64,1730,15.8,118
462,48.0,9,384,145,6273,12.6,92
463,26.4,10,435,225,4007,18.6,101
464,9.4,10,98,79,2576,9.1,98
465,20.2,3,389,140,3616,18.4,144
466,33.6,3,76,142,3046,25.6,94
467,26.2,6,410,77,1281,31.7,142
468,37.0,3,428,227,2892,29.4,119
469,11.5,8,141,257,2010,25.9,91
470,24.2,9,439,216,4299,13.1,130
471,8.4,9,506,182,2707,14.7,144
472,8.4,10,448,172,1652,9.3,148
473,47.9,4,240,71,1961,31.5,107
474,18.9,5,391,177,5092,31.9,72
475,35.4,9,402,241,5640,19.3,105
476,14.0,8,125,195,2324,27.3,94
477,43.8,6,175,135,2574,23.0,133
478,28.0,8,334,121,2754,20.0,80
479,19.5,10,414,156,4662,11.2,150
480,22.3,6,440,162,1873,26.6,79
481,46.8,7,436,111,2174,27.2,144
482,22.4,4,226,261,1439,25.4,85
483,14.7,7,301,57,1815,9.1,149
484,18.9,7,384,86,3896,8.1,131
485,34.8,5,455,125,5394,27.4,132
486,11.9,10,158,226,3203,12.1,106
487,12.2,9,138,189,5482,10.5,131
488,44.4,10,448,200,1303,22.4,114
489,28.2,5,477,169,3614,28.6,109
490,44.9,10,333,124,1304,9.4,122
491,43.3,9,283,198,3783,13.1,81
492,39.3,4,139,258,1212,32.7,151
493,11.8,6,480,127,5877,10.9,94
494,28.5,5,405,97,3742,12.5,123
495,17.0,6,271,204,3933,12.3,70
496,20.2,9,368,277,5828,19.3,111
497,12.1,6,281,109,2597,32.7,72
498,51.0,4,434,164,4097,26.5,105
499,48.8,6,367,95,3820,18.6,96
500,33.8,10,439,104,2207,30.2,115
501,8.2,7,431,232,5076,22.4,76
502,26.3,7,332,61,3003,12.7,96
503,27.6,6,482,95,4851,29.0,88
504,45.3,3,100,103,3693,15.1,87
505,27.3,6,141,127,1354,31.0,130
506,21.5,5,253,192,2941,17.7,90
507,24.3,8,118,187,2316,16.5,81
508,19.0,3,80,97,2136,30.2,148
509,50.0,7,319,72,3013,13.2,142
510,21.4,7,292,114,4719,28.4,139
511,51.1,8,134,114,4573,29.6,74
512,44.9,10,429,268,4751,32.6,118
513,53.9,3,311,227,3445,9.1,128
514,16.5,10,73,189,4174,14.2,106
515,12.7,6,226,257,2246,22.5,144
516,15.1,8,311,265,3894,9.8,127
517,29.7,6,339,258,3464,27.0,72
518,44.9,7,182,272,6264,8.7,108
519,49.2,9,344,226,4659,10.1,73
520,35.7,4,510,236,5407,23.6,87
521,15.8,9,282,192,1394,21.4,79
522,18.3,4,286,120,5973,29.9,128
523,19.0,8,431,117,3252,20.7,128
524,48.9,8,390,109,4740,21.1,124
525,39.7,10,74,152,4194,27.0,91
526,14.8,8,510,203,3064,10.7,74
527,45.8,8,90,208,2264,10.2,125
528,27.4,4,273,185,1442,18.3,140
529,9.2,6,112,106,6236,17.9,127
530,14.2,9,520,124,2401,14.8,141
531,14.2,6,274,106,2457,21.5,130
532,12.9,9,83,55,3201,16.3,131
533,31.4,3,318,210,4381,23.1,138
534,9.4,6,340,83,5282,24.4,123
535,18.1,10,93,59,1401,28.9,103
536,21.5,9,428,130,1506,27.8,72
537,51.5,6,277,67,2102,30.8,74
538,26.8,4,179,57,6240,21.3,106
539,44.7,9,213,160,5732,16.1,79
540,46.0,8,501,78,5397,10.7,104
541,53.5,8,422,191,2853,23.3,74
542,8.8,8,466,78,2795,22.6,94
543,33.8,8,147,273,1758,12.5,124
544,45.6,5,173,209,2035,24.9,105
545,38.4,8,382,68,3278,28.8,120
546,53.6,8,433,112,3281,30.3,97
547,22.6,7,168,132,4376,11.0,150
548,44.8,7,461,92,2587,20.0,105
549,8.7,7,393,221,3702,13.1,101
550,23.6,10,371,187,4290,15.4,130
551,51.6,4,249,255,6101,10.3,98
552,14.5,7,98,140,3396,19.3,108
553,16.2,7,263,60,1353,13.9,133
554,43.0,9,469,126,2025,29.0,140
555,25.1,3,267,136,2285,19.2,107
556,48.2,9,527,137,2068,32.7,95
557,33.2,10,464,198,4919,17.4,101
558,18.8,10,191,84,2721,26.3,108
559,10.2,8,397,206,1660,10.3,125
560,10.5,10,117,181,5679,31.7,84
561,39.4,10,465,250,6061,20.9,93
562,22.8,3,384,134,3754,14.1,132
563,36.5,3,149,223,1793,24.9,71
564,36.8,8,238,178,5975,29.6,109
565,44.1,4,363,175,5381,25.0,76
566,39.8,6,489,119,4042,9.6,119
567,45.7,7,294,186,5887,13.5,95
568,47.4,4,513,69,3648,22.9,83
569,8.3,4,320,216,4635,16.7,133
570,20.2,8,275,110,6174,30.2,88
571,45.7,9,262,264,1601,26.5,125
572,20.7,8,296,166,4903,30.1,146
573,12.0,8,213,194,5566,18.4,117
574,39.5,5,332,122,1943,27.0,120
575,39.5,9,311,121,2540,10.6,73
576,21.8,8,415,215,1242,13.3,94
577,51.8,5,189,107,3893,9.7,111
578,43.3,6,439,72,3925,15.0,137
579,12.4,3,226,172,2856,31.2,80
580,29.5,9,119,239,1691,30.4,124
581,40.3,3,507,141,2014,15.1,119
582,30.7,9,103,105,5019,12.6,109
583,16.7,3,232,214,5514,26.8,93
584,38.6,4,178,227,2668,24.8,117
585,11.3,7,497,179,2565,16.9,101
586,28.4,7,468,123,2899,22.7,128
587,24.0,4,217,97,1703,14.7,111
588,34.6,9,337,186,1826,31.4,148
589,32.6,4,101,174,4590,19.3,148
590,34.3,3,369,189,1782,27.5,114
591,38.6,5,165,152,2674,31.9,97
592,20.8,4,516,102,4941,23.3,106
593,35.6,10,109,216,1852,20.2,101
594,50.3,8,433,261,6059,12.2,82
595,29.4,8,309,256,3236,27.3,137
596,48.6,8,81,216,1491,19.4,88
597,48.9,3,250,71,4636,23.7,82
598,24.6,7,73,154,1448,12.4,130
599,8.7,3,76,136,1297,10.5,131
600,38.5,5,314,259,2589,22.7,102
601,17.7,9,269,253,2332,27.1,112
602,17.8,10,523,191,1335,10.4,108
603,17.8,3,383,188,2278,15.8,120
604,21.8,10,132,133,2547,18.7,126
605,14.2,7,439,76,2156,15.4,99
606,16.8,4,307,239,4010,20.2,115
607,12.0,4,227,196,1700,11.7,126
608,36.6,3,372,80,1834,16.3,73
609,42.5,10,469,154,3394,31.1,93
610,15.7,4,393,278,5546,26.1,83
611,10.2,10,338,101,5850,24.5,74
612,24.8,9,85,197,6154,21.2,86
613,8.1,7,80,240,5814,23.7,73
614,46.3,5,289,191,2108,16.0,101
615,8.7,6,304,161,3766,19.9,120
616,45.5,3,163,254,6268,12.7,146
617,41.6,10,367,160,5849,28.4,72
618,50.2,7,443,152,5472,18.0,151
619,10.8,8,166,120,4234,25.6,147
620,51.8,8,449,196,3505,10.2,85
621,47.7,10,162,181,6145,20.4,127
622,15.4,3,523,189,1942,32.0,149
623,13.3,8,432,98,5917,30.1,147
624,48.0,9,449,66,5250,26.6,146
625,17.6,6,446,57,2405,14.4,151
626,46.8,9,488,178,5957,14.8,141
627,15.2,3,526,64,4236,25.2,95
628,29.7,8,196,101,2179,16.6,151
629,45.9,7,330,261,2942,29.3,87
630,21.6,9,379,182,1652,16.3,125
631,16.0,6,257,117,2042,26.9,87
632,26.7,3,212,130,6083,19.3,70
633,51.4,3,156,208,1924,20.4,75
634,23.8,3,449,217,4351,23.6,95
635,16.4,5,362,266,5964,21.7,92
636,28.1,7,462,69,1283,21.8,125
637,10.7,6,405,164,2399,21.6,129
638,22.8,6,314,85,4802,30.8,115
639,11.2,9,400,204,3513,20.3,71
640,19.5,4,491,109,1853,28.8,89
641,39.8,8,445,141,2273,16.9,124
642,47.4,10,445,103,4151,27.1,141
643,45.5,4,110,140,5199,30.6,150
644,13.2,4,266,134,2352,15.8,75
645,49.7,4,281,117,2776,10.3,124
646,15.4,7,185,263,2172,22.4,85
647,41.0,4,355,145,4717,14.0,134
648,41.5,3,372,149,6257,10.7,147
649,30.2,6,526,129,1280,8.5,119
650,23.4,9,424,93,4592,20.7,124
651,49.7,10,158,279,1380,26.7,82
652,13.9,5,111,73,3326,18.3,133
653,16.4,3,271,63,1462,31.9,115
654,49.2,10,73,81,5482,12.1,97
655,43.9,9,247,230,4794,31.0,142
656,50.6,10,345,216,2405,20.4,132
657,46.6,7,148,181,3604,20.3,114
658,34.3,6,375,95,3160,12.8,92
659,45.9,5,136,147,4156,25.7,146
660,25.2,9,382,234,5466,29.6,149
661,10.9,8,323,55,1759,17.4,75
662,47.1,4,227,77,2761,10.4,76
