name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
109,24.1,5,463,58,2746,23.4,150
110,23.6,3,523,68,2465,22.7,104
111,20.1,3,378,200,2933,26.2,122
112,34.4,4,446,55,3318,13.8,116
113,21.3,8,499,99,5094,19.5,138
114,15.8,8,276,155,3836,19.8,138
115,10.1,6,458,213,5792,22.4,97
116,19.3,5,186,125,4911,18.5,129
117,48.3,6,220,211,2553,13.7,90
118,12.7,5,397,85,1232,18.5,103
119,8.9,4,417,64,5313,13.0,145
120,40.8,3,215,173,5629,31.2,76
121,31.8,7,238,211,5381,25.5,88
122,15.8,7,215,240,5827,15.6,87
123,18.9,3,105,123,5947,25.4,107
124,31.4,4,234,117,4775,20.7,123
125,11.8,9,505,101,2996,17.9,88
126,36.9,10,230,88,3743,9.4,99
127,21.1,10,445,239,2753,9.6,116
128,30.7,7,115,168,4689,19.2,79
129,36.3,5,176,266,1965,20.4,136
130,14.8,9,392,215,4770,19.2,126
131,27.2,3,370,190,5963,11.7,76
132,46.9,6,94,117,6233,14.7,117
133,34.3,6,221,115,2150,30.4,102
134,36.1,3,280,50,3645,13.1,110
135,48.3,8,504,160,1733,13.1,151
136,8.6,8,507,142,1436,15.6,137
137,38.1,6,397,169,5926,25.7,143
138,16.3,10,419,85,4070,12.5,105
139,46.1,5,405,80,6024,25.0,124
140,14.3,8,184,209,2653,26.7,137
141,24.4,8,88,138,4944,32.5,109
142,11.5,4,408,218,5561,26.8,120
143,53.9,10,272,192,6163,29.7,141
144,47.3,9,142,59,2289,13.8,144
145,44.5,5,271,133,1507,17.7,146
146,18.5,6,375,165,3608,18.4,137
147,11.2,7,527,148,2356,30.5,132
148,38.2,5,334,94,5864,14.5,94
149,14.9,8,431,84,5473,10.1,151
150,44.9,5,407,198,1534,24.7,95
151,32.2,5,207,271,1734,19.2,93
152,28.2,8,422,159,1876,26.6,134
153,44.0,8,341,180,2523,13.5,117
154,49.3,3,109,52,2692,31.0,114
155,20.3,9,331,217,4299,15.3,70
156,35.4,8,237,93,4588,32.4,148
157,18.5,8,144,219,2771,10.3,122
158,30.7,9,301,62,5337,11.9,99
159,12.5,7,339,106,5598,26.7,108
160,24.6,10,223,160,2991,10.6,148
161,47.2,7,167,59,5038,10.5,133
162,8.0,10,279,169,4531,25.7,124
163,48.6,8,274,113,6047,30.8,108
164,11.7,4,149,87,5363,18.2,113
165,27.9,8,431,149,2079,16.7,76
166,12.4,3,293,107,2623,28.8,95
167,22.2,3,474,193,3126,20.9,72
168,44.4,5,186,70,2860,12.0,78
169,47.5,10,432,113,4868,26.4,96
170,18.2,10,526,163,2197,23.3,137
171,41.0,4,336,261,1268,20.5,143
172,9.9,5,326,201,4582,29.6,143
173,51.2,5,210,198,3436,21.0,106
174,50.2,4,319,84,5344,26.8,130
175,37.9,7,103,223,4821,27.9,130
176,17.1,4,420,262,4900,12.5,146
177,48.4,8,170,193,5555,25.8,92
178,23.4,5,89,172,2700,19.2,134
179,35.3,10,201,132,1349,25.1,97
180,22.3,4,270,106,6049,30.3,98
181,11.7,5,131,255,1897,8.7,123
182,21.6,6,382,191,6081,14.4,143
183,31.7,6,207,269,1790,27.0,79
184,42.8,6,413,128,2537,14.4,72
185,30.2,8,346,185,3576,17.3,143
186,9.4,9,528,200,5395,8.2,99
187,25.7,3,201,204,4718,15.6,150
188,18.1,6,469,136,3705,24.6,136
189,11.7,4,252,106,3111,21.3,117
190,36.4,4,110,50,1827,14.9,107
191,24.1,6,253,209,4903,18.0,151
192,9.6,7,477,133,5465,24.8,148
193,30.7,4,461,87,3435,20.5,97
194,26.5,8,206,57,3332,21.9,104
195,16.7,3,528,117,4604,23.0,90
196,19.1,5,324,185,6281,9.0,71
197,16.1,10,506,208,5028,16.6,92
198,18.5,8,371,251,1838,18.9,87
199,42.5,10,518,263,2402,25.5,114
200,33.5,6,126,266,5709,23.7,101
201,40.0,9,276,268,2704,25.6,138
202,8.4,8,211,117,1539,10.6,89
203,17.7,3,183,143,6272,17.3,134
204,12.2,6,438,261,5973,25.0,141
205,49.4,10,483,147,3758,14.6,107
206,46.3,4,399,145,6247,16.4,129
207,22.6,9,258,53,1699,9.3,84
208,41.3,5,308,189,3727,15.3,80
209,13.0,9,320,270,5430,12.5,115
210,40.5,4,306,225,1380,9.7,75
211,8.2,8,225,277,2615,30.3,124
212,24.2,10,94,249,2936,31.5,111
213,11.8,4,122,83,3673,14.7,86
214,12.1,9,477,149,1262,11.3,119
215,26.7,6,522,70,2131,25.9,93
216,45.5,4,492,182,3508,15.1,137
217,29.5,9,103,155,5615,26.2,141
218,33.1,10,448,216,5677,28.2,81
219,39.3,9,131,255,2836,13.1,73
220,16.7,5,246,181,2229,26.1,128
221,26.2,4,291,185,4744,32.6,115
222,44.8,3,361,117,2393,22.5,98
223,22.1,6,379,92,3833,22.9,135
224,36.0,6,206,154,1927,14.1,129
225,26.3,3,90,217,6198,21.1,104
226,32.3,3,395,129,4946,16.7,147
227,37.6,5,212,127,2010,12.4,122
228,16.0,10,226,264,1689,26.2,76
229,38.0,10,284,219,2292,17.1,111
230,51.3,3,405,99,1543,8.2,148
231,20.7,5,505,259,5699,22.2,93
232,8.9,3,187,61,2676,22.2,87
233,19.3,5,245,137,4544,15.9,77
234,24.1,6,152,72,2759,28.3,80
235,28.4,3,497,252,5914,11.8,102
236,20.0,5,467,151,2483,27.0,73
237,21.9,8,498,263,4762,22.4,147
238,46.5,3,290,63,2562,13.1,134
239,24.2,9,274,250,5434,17.7,96
240,43.1,4,327,190,6226,24.0,74
241,8.8,7,150,91,4763,19.9,82
242,49.3,4,126,220,1825,26.1,76
243,31.4,8,99,94,4131,12.0,82
244,35.5,7,301,110,4091,12.6,104
245,12.5,7,230,201,2708,29.6,143
246,17.1,6,399,274,4765,12.3,70
247,51.2,5,187,199,1683,32.6,70
248,11.8,10,291,236,5242,20.1,150
249,32.9,9,258,85,5086,12.9,71
250,32.8,5,413,113,1521,15.1,84
251,43.8,4,212,186,5549,31.1,71
252,50.4,6,337,268,5264,24.1,81
253,28.5,10,444,101,2356,19.6,145
254,9.9,6,117,106,2502,31.5,70
255,30.7,7,195,239,5531,23.0,95
256,26.4,8,337,166,1409,13.8,79
257,14.1,4,366,170,4279,27.5,137
258,37.9,10,312,143,1920,24.9,97
259,23.6,5,517,53,1873,13.4,104
260,25.0,10,103,230,2418,13.5,84
261,49.6,9,359,251,4625,19.1,117
262,21.0,3,242,86,5621,22.9,95
263,48.3,3,371,205,4603,18.2,148
264,8.7,4,339,182,3501,22.9,128
265,14.5,4,283,78,1868,32.6,123
266,30.7,9,378,76,6262,29.7,143
267,44.0,3,235,153,4372,17.3,95
268,50.2,9,514,55,3564,29.8,127
269,51.3,7,463,123,3591,27.3,73
270,48.5,3,103,76,5467,12.5,92
271,41.7,6,135,68,3476,13.0,79
272,34.4,10,460,60,4773,26.3,122
273,29.6,4,231,157,5159,19.6,127
274,30.9,5,297,209,5187,10.4,106
275,11.4,10,270,243,4936,25.5,129
276,37.3,4,215,64,4615,24.6,130
277,35.8,5,326,98,3863,27.3,142
278,43.9,4,166,195,5264,10.5,84
279,27.6,3,391,202,5089,23.8,140
280,19.4,9,475,110,2669,10.0,150
281,20.3,10,82,142,5970,25.9,146
282,50.1,3,286,99,3020,16.4,96
283,24.5,4,241,257,6281,9.8,95
284,39.3,7,94,278,3918,20.3,105
285,9.0,5,375,83,1413,19.8,98
286,43.3,4,512,204,4186,29.8,111
287,52.6,10,163,148,5852,10.3,93
288,34.1,4,450,156,2963,25.8,148
289,36.4,6,94,159,4836,31.1,136
290,21.8,6,147,107,4011,24.6,89
291,13.7,4,121,248,4529,8.3,79
292,30.8,5,521,98,4540,31.0,84
293,29.0,7,126,145,2960,17.3,114
294,16.6,9,528,60,1312,15.9,123
295,17.2,4,364,173,5977,16.4,104
296,10.9,9,345,111,2845,28.8,89
297,13.6,7,127,182,4529,19.4,100
298,32.8,4,510,243,1227,31.3,139
299,38.6,4,113,205,6121,23.7,97
300,15.1,10,74,133,3145,20.8,117
301,51.2,7,202,135,4478,24.4,144
302,23.9,10,366,201,1344,23.1,72
303,25.6,8,352,57,4423,9.7,148
304,36.6,6,100,192,2928,26.9,106
305,28.5,7,439,202,1858,20.7,141
306,53.1,7,455,77,1393,19.5,86
307,30.1,7,295,81,3730,24.2,81
308,14.3,7,477,93,3844,31.1,131
309,49.5,5,438,91,3022,8.0,128
310,41.2,4,236,208,3866,13.8,108
311,46.0,9,334,205,2437,28.3,135
312,19.4,7,360,112,6242,16.9,92
313,47.2,10,207,221,5759,11.6,126
314,42.2,4,229,190,3942,9.0,114
315,52.1,8,122,238,3857,9.4,75
316,41.5,10,292,65,2330,10.1,143
317,15.8,4,284,258,4911,17.1,80
318,8.2,5,225,119,5966,30.7,142
319,45.5,6,167,163,2038,10.0,125
320,35.4,9,130,246,1525,10.7,145
321,30.9,3,464,265,3559,8.3,126
322,53.3,7,361,228,3886,29.8,100
323,23.2,9,486,132,3347,25.8,138
324,32.9,3,137,184,2622,21.2,129
325,28.4,4,381,221,1828,11.5,143
326,22.0,5,401,93,4349,13.6,146
327,48.3,9,475,141,3534,18.0,126
328,47.8,3,210,170,3618,32.6,100
329,21.4,6,520,275,4287,26.7,78
330,8.6,5,190,272,4242,29.1,116
331,51.2,5,523,78,5097,21.8,118
332,14.1,8,96,149,2444,13.5,135
333,34.4,8,155,266,3442,23.0,83
334,40.8,8,454,202,1493,27.3,104
335,30.6,8,154,237,5886,30.0,110
336,8.8,8,158,99,2302,26.3,88
337,49.1,7,90,169,4775,16.0,122
338,19.6,9,151,214,4083,26.6,82
339,50.9,7,326,224,4613,31.1,139
340,15.7,10,526,152,5350,20.8,95
341,32.8,9,102,259,3156,21.2,140
342,49.1,6,135,161,4664,21.9,150
343,39.8,7,447,172,2028,24.4,114
344,34.4,6,293,103,4065,23.0,112
345,51.4,10,246,172,3612,19.2,85
346,21.5,8,425,245,2129,17.5,77
347,46.7,8,382,248,1860,11.8,87
348,15.0,6,427,132,1610,21.2,125
349,25.0,9,392,65,4064,13.0,120
350,32.9,3,464,258,2726,32.1,138
351,40.7,4,161,196,3037,17.6,118
352,29.6,10,452,247,3978,19.1,126
353,25.0,9,378,61,2784,15.7,74
354,21.2,5,302,55,1221,13.9,135
355,40.2,5,344,134,5890,29.6,87
356,36.6,5,445,83,2738,30.3,115
357,45.1,8,401,100,4811,27.6,88
358,33.3,7,230,265,2092,32.5,104
359,11.2,9,89,149,3332,15.5,135
360,24.5,9,409,234,2449,26.8,76
361,43.1,10,266,120,1838,31.7,87
362,10.3,5,143,169,1676,16.8,103
363,53.7,6,504,207,1401,28.7,84
364,28.2,4,191,87,5390,26.1,126
365,36.2,10,351,241,5761,9.5,144
366,11.5,7,189,193,1209,11.2,129
367,33.5,6,217,206,5458,28.3,144
368,23.7,8,522,231,6257,29.3,149
369,17.7,5,77,57,5095,30.9,86
370,30.3,4,371,264,1902,16.4,120
371,40.4,9,434,118,2549,27.4,77
372,30.3,4,119,172,5337,9.2,146
373,48.3,7,498,251,1958,32.2,104
374,47.9,9,181,123,1616,30.6,97
375,33.7,4,340,88,5512,8.5,132
376,36.6,5,518,96,3458,24.6,119
377,15.7,10,249,145,3930,13.9,85
378,19.4,6,405,266,1671,11.2,116
379,25.7,5,414,135,1241,11.9,71
380,41.1,3,500,146,2764,19.6,94
381,42.9,10,318,234,3674,29.3,105
382,35.2,4,120,99,5472,11.4,103
383,35.8,3,163,221,3115,16.6,109
384,29.9,4,333,95,1364,11.4,114
385,38.0,9,339,82,4349,30.2,82
386,38.2,7,506,242,5633,16.1,91
387,45.7,7,512,99,5486,10.0,110
388,19.6,9,248,154,5758,21.7,80
389,24.9,3,184,245,5114,8.5,151
390,35.4,6,504,55,2360,30.9,106
391,35.2,5,389,156,4145,25.6,140
392,12.2,3,495,100,4981,9.3,99
393,8.9,9,449,240,6049,24.0,145
394,14.0,4,333,68,2968,25.8,135
395,33.0,8,261,214,2699,19.1,98
396,40.1,4,71,231,1275,29.6,88
397,11.4,5,81,279,3397,16.8,79
398,50.2,5,158,171,1713,26.7,146
399,37.4,8,500,276,1473,32.3,147
400,16.2,6,165,128,3072,21.1,75
401,8.8,10,270,169,1410,24.2,105
402,32.6,7,526,268,3509,16.5,101
403,50.2,5,124,239,4531,22.7,125
404,24.8,5,111,151,2077,25.6,112
405,17.2,9,447,168,3443,12.7,101
406,26.9,7,435,158,4802,9.5,72
407,32.8,8,362,113,5851,19.0,93
408,10.3,4,148,239,2525,9.4,105
409,45.9,10,278,131,4749,14.1,133
410,33.1,7,215,209,1296,8.4,90
411,43.3,6,98,202,2615,21.8,82
412,51.4,9,122,221,3006,8.6,82
413,16.6,9,161,106,2502,32.0,77
414,53.7,9,343,268,2707,25.6,99
415,41.4,3,74,225,5318,27.8,116
416,27.0,8,424,223,1770,31.6,117
417,8.7,4,155,274,4364,16.1,110
418,38.0,6,289,219,3786,15.4,139
419,36.5,7,346,183,1627,12.2,124
420,22.2,9,263,279,5188,32.5,133
421,45.8,5,240,191,3028,14.5,108
422,36.2,3,285,112,4361,25.7,126
423,19.3,4,248,267,4724,22.4,70
424,45.2,9,274,267,6116,28.1,134
425,19.2,4,213,204,2597,30.6,142
426,26.2,9,288,85,5571,25.5,143
427,48.7,10,270,150,4717,30.2,99
428,38.9,10,305,267,4026,27.8,116
429,30.8,9,173,141,2670,13.9,84
430,36.9,10,148,251,1351,8.3,98
431,16.1,9,248,135,3853,14.3,79
432,22.5,3,147,187,4578,27.3,146
433,42.7,4,199,174,1247,13.9,92
434,19.5,3,403,86,5701,29.6,135
435,46.1,4,92,203,3314,31.9,150
436,25.9,6,482,183,6110,30.8,134
437,38.9,5,440,141,5585,11.6,148
438,29.9,5,482,216,5365,31.8,128
439,39.8,4,180,201,2488,30.7,95
440,41.5,4,138,247,4689,21.1,79
441,21.6,10,264,58,1312,32.8,121
442,31.5,3,274,93,5211,15.6,81
443,35.4,3,261,276,5487,18.2,119
444,41.0,8,250,65,5310,15.5,86
445,45.4,4,452,80,4991,24.0,112
446,19.7,9,343,232,1220,17.3,129
447,51.3,5,429,260,2468,8.7,123
448,9.7,7,354,164,1899,16.8,144
449,17.7,8,211,168,2778,18.7,121
450,11.6,9,155,168,3247,27.9,146
451,50.2,6,502,76,5833,9.9,139
452,45.0,4,113,195,5270,21.6,105
453,9.7,6,232,179,5170,24.9,90
454,36.2,6,138,267,2904,24.4,131
455,11.7,6,202,176,3801,14.8,80
456,48.8,4,366,251,3265,24.2,87
457,37.8,3,170,97,2158,23.7,139
458,19.9,5,292,127,5912,19.2,82
459,22.4,5,330,189,4882,15.9,116
460,13.6,5,260,182,1973,19.9,141
461,49.6,6,475,270,4622,28.5,118
462,53.4,8,256,173,1466,21.3,100
463,43.0,6,153,62,2861,9.7,108
464,11.4,6,151,127,3957,18.1,135
465,17.3,4,183,167,4243,15.7,81
466,11.1,8,411,223,2721,16.1,127
467,10.7,5,357,116,5086,23.3,144
468,17.2,5,501,199,1612,31.4,93
469,31.6,4,205,62,4006,10.6,74
470,12.4,6,240,242,6237,8.7,144
471,9.7,7,200,113,5811,24.7,70
472,13.0,3,421,96,1992,11.0,149
473,53.1,10,147,171,4304,27.4,113
474,24.6,9,457,199,4996,20.3,84
475,36.3,5,136,157,1634,32.1,146
476,29.0,9,287,63,5925,29.0,103
477,37.1,4,140,223,5847,26.5,113
478,47.2,6,209,279,4169,25.4,125
479,11.1,9,129,159,4839,28.8,108
480,8.8,8,322,56,3013,21.4,91
481,41.7,6,193,70,5542,17.2,119
482,42.0,9,416,212,3932,13.5,71
483,34.3,4,255,145,1493,19.7,133
484,15.1,10,307,151,3645,19.6,120
485,45.0,5,440,240,2676,31.7,115
486,42.7,6,475,118,5348,26.6,96
487,40.5,4,315,186,2256,26.0,139
488,16.7,10,366,239,3496,12.8,122
489,29.3,6,265,185,3819,24.9,103
490,31.8,8,409,175,3092,26.0,99
491,52.3,9,270,228,5382,19.4,129
492,51.8,5,297,165,5911,10.8,132
493,50.5,4,99,124,4247,8.3,126
494,40.8,5,347,163,4220,21.3,115
495,41.0,9,435,161,5445,12.5,141
496,42.1,6,109,143,1875,12.9,124
497,43.2,10,306,83,3670,13.1,110
498,16.1,6,199,65,3853,11.0,138
499,41.2,8,401,252,2563,15.4,149
500,23.4,4,428,242,6191,8.1,113
501,52.4,6,114,194,2822,13.1,123
502,18.9,8,398,172,2379,30.0,92
503,50.0,10,467,233,5024,11.1,76
504,35.3,3,148,231,2757,16.0,96
505,38.8,10,307,81,1341,9.4,126
506,12.5,10,477,73,5744,30.5,150
507,24.6,4,147,208,2893,23.9,109
508,30.5,3,169,209,1764,20.4,86
509,16.7,9,202,266,4691,10.6,87
510,24.4,6,474,203,3930,9.7,144
511,14.1,5,470,170,4450,15.4,115
512,15.4,3,100,162,5950,20.8,84
513,22.7,6,475,221,2685,8.8,146
514,30.3,6,380,59,3330,26.6,111
515,21.4,8,426,158,3017,14.1,95
516,30.0,3,260,171,2189,20.6,77
517,25.8,4,380,163,3206,12.2,124
518,24.7,4,448,53,2285,15.8,104
519,43.2,6,502,177,3117,25.6,101
520,18.0,5,226,142,5424,21.3,113
521,38.3,5,529,239,4001,32.6,71
522,19.6,9,79,137,6026,9.1,101
523,11.8,4,514,54,2201,32.0,132
524,24.1,3,279,151,5372,18.3,122
525,8.7,10,262,278,2865,8.0,111
526,33.0,9,483,86,5973,21.8,96
527,50.6,10,109,110,4761,27.9,126
528,46.1,6,418,241,5850,25.7,117
529,37.5,7,201,147,3140,29.3,74
530,40.2,4,357,106,2058,31.4,125
531,10.6,6,405,210,4825,14.5,86
532,32.5,10,106,55,3822,18.4,143
533,42.0,4,127,234,3803,18.4,131
534,49.8,4,384,184,1943,25.8,151
535,18.7,4,417,181,2444,23.3,106
536,13.8,3,72,103,5327,12.9,111
537,43.0,10,104,54,1218,20.7,137
538,20.0,6,287,229,4255,24.7,94
539,12.3,7,502,86,1763,20.9,114
540,22.8,6,473,257,2005,22.8,134
541,47.6,4,499,54,3138,8.3,77
542,43.1,9,164,50,2374,18.6,87
543,50.0,4,516,216,1334,13.6,134
544,38.8,8,493,218,1571,10.3,118
545,16.6,8,164,259,1203,12.3,98
546,41.1,8,111,51,5172,20.2,144
547,15.4,10,347,206,3955,20.8,125
548,21.5,8,381,112,1915,31.7,120
549,19.1,10,456,230,1871,21.2,130
550,49.0,8,437,250,6296,28.0,82
551,46.0,3,288,189,2889,31.0,78
552,41.3,4,363,218,2787,17.3,128
553,17.5,7,434,86,1432,29.2,105
554,48.8,9,254,105,3735,10.8,73
555,39.5,8,485,224,1823,26.5,98
556,28.5,5,115,264,5851,16.1,127
557,29.1,10,523,212,1618,28.2,109
558,47.0,6,253,154,6077,30.4,104
559,33.9,8,236,89,5549,14.0,77
560,42.7,3,341,210,6148,22.6,136
561,40.3,9,398,72,2068,14.9,70
562,12.3,3,502,87,3808,12.4,151
563,27.4,7,368,126,1617,13.7,106
564,26.0,7,155,183,3119,10.1,131
565,28.3,4,253,223,4839,24.6,121
566,23.8,10,394,81,2939,14.2,80
567,29.9,6,257,187,2534,8.4,113
568,30.1,3,272,106,4696,15.8,112
569,14.3,10,259,186,2032,10.4,108
570,13.4,4,349,201,3571,14.7,101
571,49.0,6,516,110,4176,31.8,150
572,14.9,10,359,133,4001,14.3,83
573,49.1,3,154,152,1854,18.9,84
574,40.8,8,132,199,1433,14.3,127
575,22.0,3,210,257,5701,13.7,133
576,17.6,7,469,203,2121,8.2,76
577,31.9,4,432,218,2368,24.6,142
578,50.4,6,373,129,1966,18.2,143
579,42.7,10,189,131,2614,29.5,77
580,48.8,8,121,149,4497,32.3,133
581,12.8,6,525,268,2276,15.6,118
582,22.0,10,454,59,5925,16.7,133
583,40.3,3,105,70,4559,13.9,81
584,22.2,7,412,66,4200,13.9,141
585,42.9,6,244,101,2248,24.3,103
586,45.6,8,97,205,1682,16.5,138
587,50.6,5,312,251,2361,9.8,111
588,35.4,5,272,127,6118,26.5,134
589,16.4,10,137,60,1464,16.9,116
590,10.7,10,501,99,2542,28.8,79
591,40.4,3,483,82,2330,25.1,103
592,13.6,6,174,113,1290,19.8,88
593,29.6,9,411,118,2179,25.6,88
594,44.2,3,275,136,2945,27.0,142
595,18.2,10,284,134,1213,30.2,139
596,51.3,3,456,210,2393,14.5,125
597,44.0,7,438,110,2879,29.9,74
598,50.1,9,392,150,3442,17.4,142
599,31.0,7,508,55,4638,9.2,131
600,44.5,3,156,69,4107,20.4,112
601,51.7,9,471,180,4951,14.8,90
602,18.4,5,368,261,1379,17.9,120
603,23.6,10,102,123,2592,18.8,86
604,21.5,7,193,200,1432,16.3,118
605,12.5,7,179,89,3496,32.5,96
606,45.5,3,402,101,3864,22.4,117
607,21.5,5,297,196,1481,26.0,82
608,25.8,9,407,112,5526,31.8,136
609,49.5,10,376,220,1851,14.7,87
610,33.9,9,141,161,5598,11.7,101
611,11.4,10,153,236,5635,26.2,144
612,50.8,3,248,182,2716,8.8,114
613,28.1,10,166,107,5676,27.3,96
614,43.6,9,523,215,1503,18.9,104
615,49.1,7,100,58,5995,25.1,148
616,46.2,7,122,110,2434,29.0,124
617,39.3,9,448,241,1884,8.7,102
618,15.4,5,422,166,3543,18.5,118
619,39.6,10,503,211,5922,22.5,123
620,22.5,10,235,274,2672,22.2,148
621,45.0,4,495,125,3824,22.9,147
622,28.3,6,324,121,5037,23.3,86
623,28.7,4,344,114,4903,12.5,94
624,16.6,8,354,242,3912,32.8,111
625,32.1,6,83,252,1764,8.5,135
626,50.4,3,394,92,3896,11.2,83
627,41.4,7,314,216,3519,17.2,133
628,46.5,7,148,140,4955,26.7,141
629,30.4,5,356,202,2722,19.4,122
630,46.8,10,433,73,4513,28.0,116
631,42.9,7,162,104,5912,8.6,92
632,10.3,4,165,213,1923,11.2,141
633,42.7,9,528,154,3251,13.7,140
634,16.5,9,316,68,3008,27.8,124
635,24.4,10,364,85,2903,22.9,133
636,13.3,6,526,225,1650,10.0,95
637,42.1,8,390,86,4676,8.8,125
638,38.7,10,278,244,2282,24.4,86
639,25.8,7,425,193,1777,29.7,123
640,38.7,5,339,103,3431,15.1,149
641,52.7,10,126,88,2733,19.1,95
642,8.1,9,393,186,1425,12.6,139
643,19.2,7,115,197,3252,15.7,89
644,16.7,9,223,224,1620,25.0,97
645,25.8,4,387,175,1421,20.0,106
646,14.6,6,272,176,2858,30.0,99
647,42.8,6,410,184,2877,24.0,73
648,27.9,10,516,233,4378,14.7,86
649,27.0,7,268,91,3185,30.2,145
650,18.4,9,360,237,2535,12.7,90
651,39.1,7,429,261,4714,18.3,97
652,30.9,4,343,153,2112,20.1,121
653,8.8,6,162,238,5601,9.4,93
654,29.3,9,396,199,1492,18.3,131
655,14.2,10,325,140,5580,18.8,88
656,10.0,8,293,241,1371,17.8,113
657,47.6,10,510,173,1425,31.5,128
658,18.1,4,360,97,5722,32.0,130
659,21.9,7,510,230,5166,27.5,79
660,33.0,10,175,180,5222,12.5,81
661,53.6,6,402,118,5293,20.4,138
662,43.1,5,423,248,5110,27.9,85
